text,label
"The app crashes every time I upload an image.",technical_issue
"I really love the new dashboard layout!",praise
"Please add dark mode to the app.",feature_request
"I'm very disappointed with your customer service.",complaint
"How do I change my subscription plan?",question
"The website is down again. What's happening?",technical_issue
"Great work on the latest update. Everything feels smooth.",praise
"Can we get more payment options like PayPal?",feature_request
"Your response time is terrible.",complaint
"I forgot my password. Can you help me reset it?",question
"The search feature is broken. It returns no results.",technical_issue
"Fantastic job on the recent bug fixes.",praise
"I'd love to have a desktop version of this app.",feature_request
"Why haven't I received a confirmation email yet?",complaint
"How do I unsubscribe from your newsletter?",question
"The mobile app won't open after the update.",technical_issue
"Thanks for the quick response. Much appreciated!",praise
"Please support integration with Google Drive.",feature_request
"I'm still waiting for someone to reply to my ticket.",complaint
"What is your refund policy?",question
"My saved data is missing after logging back in.",technical_issue
"Best app I’ve used this year. Keep it up!",praise
"Consider adding biometric login for extra security.",feature_request
"Your chatbot keeps giving irrelevant answers.",complaint
"Where can I download the user manual?",question
"I get a 404 error on the help page.",technical_issue
"The interface is so user-friendly. Well done!",praise
"It would be great to get daily email reports.",feature_request
"Unacceptable delays in your support team response.",complaint
"Do you offer a student discount?",question
"The export to PDF option isn’t working properly.",technical_issue
"This is the most intuitive design I’ve seen.",praise
"Can you provide a tutorial for beginners?",feature_request
"Nobody answers on the live chat support.",complaint
"How can I recover deleted items?",question
"Sometimes the app freezes on the loading screen.",technical_issue
"Love the new analytics dashboard!",praise
"Please include multi-language support.",feature_request
"The refund process is too slow.",complaint
"What are the benefits of your premium plan?",question
"My settings don't save after I log out.",technical_issue
"Kudos to your team on the latest release!",praise
"Add an option to customize notification sounds.",feature_request
"Not happy with how my issue was handled.",complaint
"Can I change my registered email address?",question
"Every time I try to save a report, the app shuts down.",technical_issue
"I really appreciate the new feature rollout.",praise
"It would be helpful to schedule reports automatically.",feature_request
"My account was locked for no reason.",complaint
"Is there a way to change my language settings?",question
"The billing page loads forever and never responds.",technical_issue
"Kudos to the team for fixing bugs so fast!",praise
"Would be great to import contacts from my phone.",feature_request
"I was charged twice for the same subscription.",complaint
"Where do I find my invoice history?",question
"The app randomly logs me out.",technical_issue
"I'm impressed by how clean the UI is now.",praise
"Can you implement two-factor authentication?",feature_request
"I didn’t get any confirmation after payment.",complaint
"What is the difference between Basic and Premium?",question
"The reports are missing key metrics after export.",technical_issue
"The onboarding process was very smooth!",praise
"Would love a feature to sync with Apple Calendar.",feature_request
"Still waiting for someone to resolve my issue.",complaint
"How do I delete my account permanently?",question
"Why does the screen freeze on login?",technical_issue
"Thanks for listening to user suggestions!",praise
"Please add keyboard shortcuts for navigation.",feature_request
"My coupon code didn’t work during checkout.",complaint
"Where can I edit my profile details?",question
"Nothing happens when I click the 'Submit' button.",technical_issue
"This update is exactly what we needed. Well done!",praise
"Would be awesome to have dark mode for emails.",feature_request
"My ticket has been open for two weeks with no reply.",complaint
"Is there a way to preview before sending?",question
"The app shows incorrect timezone for meetings.",technical_issue
"I love how intuitive everything feels now.",praise
"Add export option to Excel, not just PDF.",feature_request
"Customer service agent was rude and unhelpful.",complaint
"How many users can I add to my team?",question
"The forgot password link doesn’t work.",technical_issue
"Big thanks for rolling out requested features!",praise
"It would help if reports had a drill-down option.",feature_request
"I never received the setup guide you promised.",complaint
"How can I see what’s included in each plan?",question
"Login fails with a ‘server error’ message.",technical_issue
"The latest version is so much faster!",praise
"Can you allow saving drafts before sending?",feature_request
"I’m frustrated with the constant downtime.",complaint
"Is phone support available for enterprise users?",question
"The video tutorial won’t play on mobile.",technical_issue
"Appreciate how fast you responded to the bug report.",praise
"Please allow connecting multiple email accounts.",feature_request
"The chat support is not helpful at all.",complaint
"Can I get a certificate for my completed course?",question
"The system doesn’t recognize my credentials.",technical_issue
"Really liked the live Q&A session you hosted!",praise
"Feature idea: auto-categorize tasks by priority.",feature_request
"My refund request was ignored.",complaint
